movie,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,genres,release_month,ROI
hot pursuit,en,9.607,5.6,1000,2015-05-08,35000000,45671512,multiple_genres,5,10671512
hot tub time machine,en,10.15,6.0,1383,2010-03-26,36000000,65967750,multiple_genres,3,29967750
hot tub time machine 2,en,8.053,5.1,512,2015-02-20,14000000,12826644,multiple_genres,2,-1173356
hotel artemis,en,14.585,5.9,471,2018-06-08,15000000,12758799,multiple_genres,6,-2241201
hotel transylvania,en,15.318,6.9,5013,2012-09-28,85000000,378505812,multiple_genres,9,293505812
hotel transylvania 2,en,16.553,6.7,3184,2015-09-25,80000000,469500298,multiple_genres,9,389500298
hotel transylvania 3: summer vacation,en,26.815,6.8,1673,2018-07-13,65000000,527079962,multiple_genres,7,462079962
house at the end of the drive,en,1.4,8.0,1,2014-12-31,1400000,0,multiple_genres,12,-1400000
house at the end of the street,en,8.72,5.8,1033,2012-09-21,6900000,44103982,multiple_genres,9,37203982
housebound,en,8.455,6.6,505,2014-10-17,1500000,236863,multiple_genres,10,-1263137
how to be a latin lover,en,11.0,6.3,197,2017-04-28,10000000,62556228,multiple_genres,4,52556228
how to be single,en,10.271,6.1,2036,2016-02-12,37000000,100003780,multiple_genres,2,63003780
how to train your dragon,en,28.734,7.7,7610,2010-03-26,165000000,494870992,multiple_genres,3,329870992
how to train your dragon 2,en,27.106,7.7,5589,2014-06-13,145000000,614586270,multiple_genres,6,469586270
hugo,en,12.936,7.1,4124,2011-11-23,180000000,180047784,documentary,11,47784
hunt for the wilderpeople,en,12.545,7.8,915,2016-06-24,2500000,23845533,multiple_genres,6,21345533
hush,en,0.6,6.0,1,2016-04-08,1000000,0,multiple_genres,4,-1000000
i am not your negro,en,7.026,8.1,196,2017-02-03,1000000,9617402,documentary,2,8617402
i am number four,en,11.555,6.0,2805,2011-02-18,50000000,146195159,multiple_genres,2,96195159
i am wrath,en,9.558,4.9,296,2016-04-15,18000000,309608,multiple_genres,4,-17690392
i can only imagine,en,9.7,7.6,155,2018-03-16,7000000,85604221,multiple_genres,3,78604221
i don't know how she does it,en,8.271,5.2,231,2011-09-16,24000000,24474463,multiple_genres,9,474463
i feel pretty,en,16.298,6.4,1088,2018-04-20,32000000,91553797,multiple_genres,4,59553797
i origins,en,8.459,7.6,1814,2014-07-18,1000000,852399,multiple_genres,7,-147601
i spit on your grave,en,13.102,6.3,977,2010-10-08,1750000,1278471,multiple_genres,10,-471529
i want your money,en,0.744,4.2,5,2010-10-15,400000,433588,documentary,10,33588
"i, frankenstein",en,12.7,5.2,1090,2014-01-24,65000000,74575290,multiple_genres,1,9575290
"i, tonya",en,15.407,7.5,2904,2017-12-08,11000000,53797409,multiple_genres,12,42797409
icarus,en,5.002,5.2,42,2010-02-09,6000000,0,multiple_genres,2,-6000000
ice age: collision course,en,18.233,5.9,2430,2016-07-22,105000000,402156682,multiple_genres,7,297156682
ice age: continental drift,en,17.537,6.3,4598,2012-07-13,95000000,879765137,multiple_genres,7,784765137
ida,pl,7.568,7.3,455,2014-05-02,2600000,15298355,drama,5,12698355
identity,en,0.6,6.3,3,2003-04-25,28000000,82183683,multiple_genres,4,54183683
identity thief,en,13.553,5.8,2230,2013-02-08,35000000,175361578,multiple_genres,2,140361578
if beale street could talk,en,13.579,7.2,388,2018-12-14,12000000,19859167,multiple_genres,12,7859167
if i stay,en,12.047,7.4,2703,2014-08-22,11000000,78356170,multiple_genres,8,67356170
immortals,en,14.774,5.8,1431,2011-11-11,75000000,211562435,multiple_genres,11,136562435
in dubious battle,en,7.646,5.9,67,2017-02-17,15000000,214182,drama,2,-14785818
in the heart of the sea,en,14.33,6.6,2137,2015-12-11,100000000,89693309,multiple_genres,12,-10306691
in the land of blood and honey,en,5.099,6.1,83,2011-12-23,13000000,509193,multiple_genres,12,-12490807
in time,en,18.912,6.8,6245,2011-10-28,35000000,165103952,multiple_genres,10,130103952
incarnate,en,7.137,5.2,314,2016-12-02,5000000,9371036,multiple_genres,12,4371036
incendies,fr,8.973,8.1,1034,2010-09-17,6800000,16038343,multiple_genres,9,9238343
inception,en,27.92,8.3,22186,2010-07-16,160000000,835524642,multiple_genres,7,675524642
incredibles 2,en,36.286,7.6,6354,2018-06-15,200000000,1242520711,multiple_genres,6,1042520711
independence day: resurgence,en,15.732,5.1,3911,2016-06-24,165000000,384169424,multiple_genres,6,219169424
independence daysaster,en,3.562,4.2,35,2013-12-31,1800000,0,multiple_genres,12,-1800000
indie game: the movie,en,6.202,7.8,259,2012-05-18,100000,0,multiple_genres,5,-100000
indivisible,en,5.599,5.4,13,2018-10-26,2700000,3588305,documentary,10,888305
inescapable,en,6.122,5.2,27,2013-02-22,4000000,4327,multiple_genres,2,-3995673
infected,en,2.168,2.4,8,2012-12-31,2100000,0,multiple_genres,12,-2100000
inferno,en,17.41,5.9,3877,2016-10-28,75000000,219519367,drama,10,144519367
inherent vice,en,14.244,6.6,1359,2014-12-12,20000000,14772346,multiple_genres,12,-5227654
inside job,en,9.514,7.8,466,2010-10-08,2000000,7799257,multiple_genres,10,5799257
inside llewyn davis,en,10.549,7.2,1400,2013-12-06,11000000,32943247,multiple_genres,12,21943247
inside out,en,4.758,4.4,18,2015-06-19,175000000,854235992,multiple_genres,6,679235992
insidious,en,16.197,6.9,3582,2011-04-01,1500000,99870886,multiple_genres,4,98370886
insidious: the last key,en,16.017,6.1,1306,2018-01-05,10000000,167885588,multiple_genres,1,157885588
insomnia,en,0.6,10.0,1,2002-05-24,46000000,113622499,drama,5,67622499
instant family,en,22.634,7.6,782,2018-11-16,48000000,119736188,multiple_genres,11,71736188
interstellar,en,28.44,8.2,18597,2014-11-05,165000000,666379375,multiple_genres,11,501379375
into the grizzly maze,en,7.133,5.3,121,2015-05-19,10000000,0,multiple_genres,5,-10000000
into the storm,en,8.884,5.8,1169,2014-08-08,50000000,150429371,documentary,8,100429371
into the woods,en,13.726,5.7,2880,2014-12-25,56200000,213116401,thriller,12,156916401
iris,en,5.445,7.6,71,2001-12-14,5500000,5580479,multiple_genres,12,80479
iron man 2,en,28.515,6.8,12368,2010-05-07,170000000,621156389,multiple_genres,5,451156389
iron man 3,en,32.093,6.9,14155,2013-05-03,200000000,1215392272,multiple_genres,5,1015392272
ironclad,en,10.202,6.1,373,2011-07-08,25000000,5297411,multiple_genres,7,-19702589
it,en,13.966,7.2,10931,2017-09-08,35000000,697457969,multiple_genres,9,662457969
it comes at night,en,12.337,5.8,1141,2017-06-09,5000000,19720203,multiple_genres,6,14720203
it follows,en,18.419,6.5,3485,2015-03-13,2000000,23250755,multiple_genres,3,21250755
it's a wonderful afterlife,en,1.332,4.6,12,2010-10-08,10000000,1642939,multiple_genres,10,-8357061
it's kind of a funny story,en,10.01,7.0,1324,2010-10-08,8000000,6632950,multiple_genres,10,-1367050
j. edgar,en,8.628,6.2,1303,2011-11-09,35000000,84606030,multiple_genres,11,49606030
jab tak hai jaan,hi,7.701,6.9,107,2012-11-13,9200000,5806666,multiple_genres,11,-3393334
jack and jill,en,11.277,4.1,1124,2011-11-11,79000000,150519217,comedy,11,71519217
jack reacher,en,18.312,6.4,4155,2012-12-21,60000000,217370736,multiple_genres,12,157370736
jack reacher: never go back,en,17.085,5.6,2831,2016-10-21,60000000,159946489,multiple_genres,10,99946489
jack ryan: shadow recruit,en,11.061,6.1,1687,2014-01-17,60000000,131377412,multiple_genres,1,71377412
jack the giant slayer,en,12.773,5.6,3403,2013-03-01,195000000,197687603,multiple_genres,3,2687603
jackass 3d,en,10.715,6.3,655,2010-10-15,20000000,171685793,multiple_genres,10,151685793
jackie,en,8.819,6.4,1420,2016-12-02,9000000,36588512,multiple_genres,12,27588512
jackpot,no,2.864,6.1,18,2001-07-27,400000,44452,multiple_genres,7,-355548
jane got a gun,en,8.825,5.5,439,2016-01-29,25000000,3771345,multiple_genres,1,-21228655
jason bourne,en,14.568,6.1,3611,2016-07-29,120000000,416168316,multiple_genres,7,296168316
"jeff, who lives at home",en,8.821,6.2,320,2012-03-16,10000000,4708127,multiple_genres,3,-5291873
jem and the holograms,en,7.942,5.4,241,2015-10-23,5000000,2368937,multiple_genres,10,-2631063
jersey boys,en,6.933,6.9,380,2014-06-20,40000000,65282732,multiple_genres,6,25282732
jigsaw,en,17.398,6.1,1887,2017-10-27,10000000,102445196,multiple_genres,10,92445196
jimi: all is by my side,en,6.461,5.5,96,2014-09-26,5000000,927074,multiple_genres,9,-4072926
jobs,en,8.023,6.1,1622,2013-08-16,18000000,43402515,multiple_genres,8,25402515
joe,en,8.57,6.6,514,2014-04-11,4000000,373375,drama,4,-3626625
john carter,en,18.549,6.1,3338,2012-03-09,275000000,282778100,multiple_genres,3,7778100
john wick,en,78.123,7.2,10081,2014-10-24,30000000,76235001,multiple_genres,10,46235001
johnny english reborn,en,15.542,6.1,1810,2011-10-21,45000000,164640401,multiple_genres,10,119640401
jonah hex,en,13.467,4.6,708,2010-06-18,47000000,11022696,multiple_genres,6,-35977304
journey 2: the mysterious island,en,14.454,5.9,2152,2012-02-10,79000000,318146162,multiple_genres,2,239146162
joy,en,10.305,6.5,2723,2015-12-25,60000000,101134059,drama,12,41134059
joyful noise,en,6.787,6.4,70,2012-01-13,27500000,31157914,multiple_genres,1,3657914
julia,en,0.627,2.0,1,2009-05-08,6000000,1365108,multiple_genres,5,-4634892
jumanji: welcome to the jungle,en,20.395,6.7,7213,2017-12-20,90000000,964496193,multiple_genres,12,874496193
jumping the broom,en,8.477,6.0,103,2011-05-06,7000000,38158601,multiple_genres,5,31158601
jupiter ascending,en,24.058,5.3,4401,2015-02-06,179000000,181982519,multiple_genres,2,2982519
jurassic world,en,20.709,6.6,14056,2015-06-12,215000000,1648854864,multiple_genres,6,1433854864
jurassic world: fallen kingdom,en,34.958,6.5,5995,2018-06-22,170000000,1305772799,multiple_genres,6,1135772799
just getting started,en,8.459,4.9,94,2017-12-08,22000000,6756412,multiple_genres,12,-15243588
just go with it,en,19.565,6.4,2958,2011-02-11,80000000,214974953,multiple_genres,2,134974953
just wright,en,7.047,6.2,211,2010-05-14,12000000,21867665,multiple_genres,5,9867665
justice league,en,34.953,6.2,7510,2017-11-17,300000000,655945209,multiple_genres,11,355945209
justin bieber: never say never,en,8.602,5.1,240,2011-02-11,13000000,99034125,multiple_genres,2,86034125
katy perry: part of me,en,7.139,6.8,147,2012-07-05,12000000,32700439,multiple_genres,7,20700439
keanu,en,8.952,6.0,644,2016-04-29,15000000,20688141,multiple_genres,4,5688141
kevin hart: laugh at my pain,en,6.558,7.4,76,2011-09-09,750000,7712436,multiple_genres,9,6962436
kevin hart: let me explain,en,8.476,6.9,142,2013-07-03,2500000,32327255,multiple_genres,7,29827255
kevin hart: what now?,en,7.786,6.5,159,2016-10-14,10000000,23591043,multiple_genres,10,13591043
khiladi 786,en,1.824,4.7,16,2012-12-07,5600000,14683763,multiple_genres,12,9083763
khumba,en,9.597,5.6,129,2013-12-06,15000000,20898221,multiple_genres,12,5898221
kick-ass,en,13.08,7.1,7540,2010-04-16,28000000,97531134,multiple_genres,4,69531134
kick-ass 2,en,14.793,6.4,3785,2013-08-16,28000000,63129909,multiple_genres,8,35129909
kicks,en,4.002,6.6,50,2016-09-09,10000000,150191,multiple_genres,9,-9849809
kidnap,en,10.959,6.0,805,2017-08-04,21000000,34836080,multiple_genres,8,13836080
kill list,en,7.036,6.1,332,2012-02-03,800000,462206,multiple_genres,2,-337794
kill the irishman,en,7.13,6.9,274,2011-03-11,12000000,1188194,crime,3,-10811806
kill the messenger,en,10.062,6.6,507,2014-10-10,5000000,6656705,multiple_genres,10,1656705
killer elite,en,15.135,6.2,1093,2011-09-23,70000000,65409046,multiple_genres,9,-4590954
killer joe,en,13.742,6.5,703,2012-07-27,10000000,4659110,multiple_genres,7,-5340890
killers,en,10.221,5.8,1314,2010-06-04,75000000,95572749,multiple_genres,6,20572749
killing them softly,en,11.298,6.0,1105,2012-11-30,15000000,39238443,multiple_genres,11,24238443
kin,en,23.805,6.2,289,2018-08-31,30000000,10096821,multiple_genres,8,-19903179
king arthur: legend of the sword,en,21.793,6.5,3305,2017-05-12,175000000,139630336,multiple_genres,5,-35369664
kingdom come,en,1.244,8.0,1,2001-04-11,7000000,23393939,documentary,4,16393939
kingsman: the golden circle,en,24.337,7.0,5531,2017-09-22,104000000,408803696,multiple_genres,9,304803696
kingsman: the secret service,en,26.103,7.6,10287,2015-02-13,94000000,404561724,multiple_genres,2,310561724
kites,hi,6.058,5.8,67,2010-05-21,9200000,17155193,multiple_genres,5,7955193
knight and day,en,17.713,6.0,2494,2010-06-23,117000000,258751370,multiple_genres,6,141751370
knock knock,en,17.867,5.0,1490,2015-10-09,2000000,6328516,multiple_genres,10,4328516
kong: skull island,en,29.388,6.3,6054,2017-03-10,185000000,561072059,multiple_genres,3,376072059
krampus,en,9.417,6.0,1046,2015-12-04,15000000,61788393,multiple_genres,12,46788393
krisha,en,5.288,6.8,86,2016-03-18,30000,144822,drama,3,114822
kubo and the two strings,en,13.847,7.7,2029,2016-08-19,55000000,77548122,multiple_genres,8,22548122
kung fu panda 2,en,17.363,6.7,3628,2011-05-26,150000000,664837547,multiple_genres,5,514837547
kung fu panda 3,en,16.248,6.7,2944,2016-01-29,140000000,517599142,multiple_genres,1,377599142
l!fe happens,en,5.334,5.3,91,2012-04-13,930000,30905,comedy,4,-899095
la la land,en,16.275,7.9,10028,2016-12-09,20000000,426351163,multiple_genres,12,406351163
labor day,en,9.258,6.9,546,2014-01-31,18000000,14189810,multiple_genres,1,-3810190
lady bird,en,15.974,7.3,3866,2017-11-03,10000000,78610769,multiple_genres,11,68610769
larry crowne,en,7.261,5.8,676,2011-07-01,30000000,61449135,multiple_genres,7,31449135
last man standing,en,2.394,4.4,11,1996-09-20,67000000,18115927,comedy,9,-48884073
last vegas,en,6.533,6.4,1211,2013-01-28,28000000,112914167,multiple_genres,1,84914167
lawless,en,12.147,7.0,1660,2012-08-29,26000000,54393687,multiple_genres,8,28393687
lbj,en,6.304,6.6,65,2017-11-03,20000000,2507181,multiple_genres,11,-17492819
le havre,fr,5.973,6.9,169,2011-10-21,5500000,13480196,multiple_genres,10,7980196
lean on pete,en,9.307,6.9,133,2018-04-06,8000000,2455027,multiple_genres,4,-5544973
leap year,es,2.563,5.6,30,2010-01-08,19000000,32618920,multiple_genres,1,13618920
left behind,en,13.897,4.0,713,2001-02-02,18500000,4221341,multiple_genres,2,-14278659
legend,en,10.195,6.8,1692,2015-11-20,25000000,42425450,multiple_genres,11,17425450
legend of the guardians: the owls of ga'hoole,en,10.754,6.6,1223,2010-09-24,100000000,139716717,multiple_genres,9,39716717
legion,en,1.627,7.5,4,2010-01-22,26000000,67647574,multiple_genres,1,41647574
let me in,en,0.675,7.0,2,2010-10-01,20000000,28270399,multiple_genres,10,8270399
let there be light,en,2.01,6.2,23,2017-10-27,3000000,7241309,documentary,10,4241309
let's kill ward's wife,en,7.157,5.6,96,2015-01-09,5000000,0,multiple_genres,1,-5000000
letters to god,en,4.242,6.9,71,2010-04-09,3000000,3237452,multiple_genres,4,237452
letters to juliet,en,9.394,6.9,1706,2010-05-14,30000000,82148538,multiple_genres,5,52148538
life,en,6.425,6.1,210,2017-03-24,58000000,100929666,drama,3,42929666
life as we know it,en,11.806,6.8,1748,2010-10-08,38000000,105887837,comedy,10,67887837
life of pi,en,15.0,7.3,8723,2012-11-21,120000000,620912003,multiple_genres,11,500912003
life of the party,en,13.696,6.2,435,2018-05-11,30000000,65759911,multiple_genres,5,35759911
lights out,en,12.408,6.3,2220,2016-07-22,5000000,148806510,drama,7,143806510
like crazy,en,10.091,6.5,638,2011-10-28,250000,3728400,drama,10,3478400
limbo,en,0.6,7.7,3,1999-06-04,8300000,2598224,multiple_genres,6,-5701776
limitless,en,19.453,7.1,6295,2011-03-18,27000000,155564919,documentary,3,128564919
lincoln,en,12.693,6.8,2261,2012-11-09,65000000,273346281,multiple_genres,11,208346281
lion,en,17.216,8.1,3833,2016-11-25,12000000,149570720,multiple_genres,11,137570720
little boy,en,5.805,7.0,292,2015-04-24,20000000,17769299,multiple_genres,4,-2230701
little fockers,en,12.153,5.6,1883,2010-12-22,100000000,310650574,multiple_genres,12,210650574
little women,en,2.919,6.8,11,1994-12-21,15000000,50003303,multiple_genres,12,35003303
live by night,en,11.322,6.2,759,2016-12-25,65000000,21774432,multiple_genres,12,-43225568
locke,en,9.128,6.9,1370,2014-04-25,2000000,2088390,drama,4,88390
locker 13,en,0.732,6.4,4,2014-03-28,300000,3496,thriller,3,-296504
lockout,en,11.273,5.9,1004,2012-04-13,20000000,33943049,multiple_genres,4,13943049
logan,en,45.0,7.8,12330,2017-03-03,127000000,615461394,multiple_genres,3,488461394
logan lucky,en,15.743,6.7,1627,2017-08-18,29000000,44264271,multiple_genres,8,15264271
lol,en,12.43,6.1,1810,2012-05-04,11000000,10431506,multiple_genres,5,-568494
london fields,en,8.557,5.3,59,2018-10-26,8000000,433732,multiple_genres,10,-7566268
london has fallen,en,15.287,5.9,2591,2016-03-04,60000000,195194085,multiple_genres,3,135194085
lone survivor,en,15.404,7.4,2289,2013-12-25,40000000,149804632,multiple_genres,12,109804632
long shot,en,5.034,7.2,39,2019-05-03,40000000,43711031,multiple_genres,5,3711031
looper,en,16.779,6.8,6723,2012-09-28,30000000,170466405,multiple_genres,9,140466405
lost river,en,7.029,5.8,352,2015-04-07,2000000,2009644,multiple_genres,4,9644
lottery ticket,en,7.699,5.7,92,2010-08-20,17000000,24719879,comedy,8,7719879
love in the time of monsters,en,0.6,5.0,2,2015-02-10,500000,0,multiple_genres,2,-500000
love ranch,en,6.185,6.1,28,2010-06-30,25000000,146149,multiple_genres,6,-24853851
love the coopers,en,8.261,5.8,384,2015-11-13,18000000,42227490,multiple_genres,11,24227490
"love, simon",en,15.608,8.2,3165,2018-03-16,10000000,65520633,multiple_genres,3,55520633
lovesick,en,4.775,5.0,44,1983-02-18,10100000,10143618,multiple_genres,2,43618
loving,en,8.506,6.7,529,2016-11-04,9000000,12898064,multiple_genres,11,3898064
lowriders,en,1.4,6.0,4,2017-05-12,916000,6188421,multiple_genres,5,5272421
lucky dog,en,0.628,4.0,1,2014-12-31,2000000,0,multiple_genres,12,-2000000
lucy,en,16.73,6.3,10019,2014-07-25,40000000,457507776,multiple_genres,7,417507776
macgruber,en,7.666,5.3,270,2010-05-21,10000000,8629895,multiple_genres,5,-1370105
machete,en,12.557,6.3,1862,2010-09-03,12500000,46370970,multiple_genres,9,33870970
machete kills,en,10.36,5.5,1079,2013-10-11,20000000,18273009,multiple_genres,10,-1726991
machine gun preacher,en,9.12,6.5,477,2011-09-23,30000000,3721988,multiple_genres,9,-26278012
mad max: fury road,en,28.099,7.4,14454,2015-05-15,150000000,370098020,multiple_genres,5,220098020
madagascar 3: europe's most wanted,en,18.705,6.5,3380,2012-06-08,145000000,746921271,multiple_genres,6,601921271
made in dagenham,en,7.275,6.6,150,2010-11-19,8000000,15644196,multiple_genres,11,7644196
madea's big happy family,en,9.393,6.7,71,2011-04-22,25000000,54160818,multiple_genres,4,29160818
maggie,en,13.0,5.3,958,2015-05-08,4500000,1027760,drama,5,-3472240
magic mike,en,13.7,6.1,1850,2012-06-29,7000000,170549753,multiple_genres,6,163549753
magic mike xxl,en,8.681,6.2,1110,2015-07-01,14500000,123660597,multiple_genres,7,109160597
maleficent,en,19.274,7.0,8143,2014-05-30,180000000,758536735,multiple_genres,5,578536735
mama,en,11.983,6.1,2421,2013-01-18,15000000,148095566,documentary,1,133095566
man of steel,en,27.667,6.5,9758,2013-06-14,225000000,667999518,multiple_genres,6,442999518
man on a ledge,en,11.263,6.3,1460,2012-01-27,42000000,49621440,multiple_genres,1,7621440
manchester by the sea,en,16.638,7.5,3176,2016-11-18,8500000,77733867,drama,11,69233867
mandela: long walk to freedom,en,8.262,6.9,319,2013-11-29,35000000,29890402,multiple_genres,11,-5109598
mandy,en,16.24,6.2,618,2018-09-14,6000000,1427656,multiple_genres,9,-4572344
manglehorn,en,7.661,5.4,94,2015-06-19,4000000,797439,drama,6,-3202561
maniac,en,6.666,6.0,471,1980-01-01,350000,10000000,multiple_genres,1,9650000
margaret,en,8.747,6.3,138,2011-09-30,14000000,623292,drama,9,-13376708
margin call,en,9.498,6.8,856,2011-10-21,3400000,20433227,multiple_genres,10,17033227
marmaduke,en,8.487,5.1,367,2010-06-04,50000000,89895930,multiple_genres,6,39895930
mars needs moms,en,8.852,5.7,299,2011-03-11,150000000,39549758,multiple_genres,3,-110450242
marshall,en,7.879,7.3,257,2017-10-13,12000000,10116816,multiple_genres,10,-1883184
martha marcy may marlene,en,9.477,6.7,413,2011-10-21,1000000,5438911,multiple_genres,10,4438911
mary poppins returns,en,30.419,6.6,1457,2018-12-19,130000000,341528518,multiple_genres,12,211528518
mary queen of scots,en,16.115,6.6,592,2018-12-07,25000000,46734733,multiple_genres,12,21734733
max,en,7.766,6.8,407,2015-06-26,20000000,43658157,multiple_genres,6,23658157
max steel,en,8.88,5.2,383,2016-10-14,10000000,4563080,multiple_genres,10,-5436920
maze runner: the scorch trials,en,17.31,6.6,6365,2015-09-18,61000000,310566162,multiple_genres,9,249566162
"mcfarland, usa",en,8.197,7.3,358,2015-02-20,17000000,45707924,multiple_genres,2,28707924
me and earl and the dying girl,en,8.677,7.6,1570,2015-06-12,8000000,9266180,multiple_genres,6,1266180
me before you,en,16.917,7.7,5939,2016-06-03,20000000,208265198,multiple_genres,6,188265198
mechanic: resurrection,en,16.302,5.6,1929,2016-08-26,40000000,109738840,multiple_genres,8,69738840
meek's cutoff,en,7.309,6.5,113,2011-04-08,2000000,1869928,multiple_genres,4,-130072
meet the blacks,en,6.131,4.4,139,2016-04-01,900000,9097072,multiple_genres,4,8197072
meet the mormons,es,0.6,5.4,7,2014-10-10,2000000,6049171,documentary,10,4049171
megamind,en,22.855,6.8,3635,2010-11-05,130000000,321887208,multiple_genres,11,191887208
melancholia,da,11.123,7.1,1642,2011-11-11,9400000,21817298,documentary,11,12417298
men in black 3,en,26.176,6.4,6398,2012-05-25,215000000,654213485,multiple_genres,5,439213485
middle of nowhere,en,1.62,6.5,11,2012-10-12,200000,236806,drama,10,36806
middle school: the worst years of my life,en,8.479,7.0,190,2016-10-07,8500000,23311293,multiple_genres,10,14811293
midnight in paris,en,13.171,7.5,3965,2011-05-20,30000000,162502774,multiple_genres,5,132502774
midnight special,en,8.653,6.3,1105,2016-03-18,18000000,7680250,multiple_genres,3,-10319750
mike and dave need wedding dates,en,11.676,6.0,1552,2016-07-08,33000000,75898100,multiple_genres,7,42898100
mile 22,en,21.246,6.0,920,2018-08-17,35000000,66295121,multiple_genres,8,31295121
milk,en,1.218,5.0,1,2008-11-26,20000000,57293371,multiple_genres,11,37293371
million dollar arm,en,7.771,6.8,353,2014-05-16,25000000,39217912,multiple_genres,5,14217912
minions,en,9.338,6.4,7343,2015-07-10,74000000,1160336173,multiple_genres,7,1086336173
miracles from heaven,en,10.078,7.1,478,2016-03-16,13000000,73798736,multiple_genres,3,60798736
mirror mirror,en,13.221,5.8,2099,2012-03-30,85000000,173613482,multiple_genres,3,88613482
misconduct,en,7.299,5.5,301,2016-02-05,11000000,2352511,multiple_genres,2,-8647489
miss bala,es,10.128,6.3,50,2019-02-01,15000000,15362298,multiple_genres,2,362298
miss julie,en,7.423,5.8,77,2015-05-05,5500000,863895,multiple_genres,5,-4636105
miss sloane,en,12.215,7.4,912,2016-11-25,18000000,7719630,multiple_genres,11,-10280370
moana,en,1.96,6.5,16,2016-11-23,150000000,637517365,multiple_genres,11,487517365
molly,en,1.4,5.8,5,1999-10-22,21000000,17396,multiple_genres,10,-20982604
mommy,en,11.095,8.3,1399,2015-01-23,4900000,17536004,drama,1,12636004
money monster,en,11.134,6.4,1859,2016-05-13,27000000,93466095,multiple_genres,5,66466095
moneyball,en,15.393,7.1,2255,2011-09-23,50000000,111300835,multiple_genres,9,61300835
monster,en,0.6,5.0,1,2003-12-24,5000000,64240813,multiple_genres,12,59240813
monster trucks,en,8.827,5.9,414,2017-01-13,125000000,61642798,multiple_genres,1,-63357202
monsters,en,10.175,6.2,848,2010-10-29,500000,5639730,horror,10,5139730
monsters university,en,20.33,7.0,6362,2013-06-21,200000000,743588329,multiple_genres,6,543588329
monte carlo,en,11.017,6.2,1193,2011-07-01,20000000,39686769,multiple_genres,7,19686769
moonlight,en,15.948,7.4,3893,2016-10-21,1500000,65245512,drama,10,63745512
moonrise kingdom,en,14.086,7.7,3023,2012-05-25,16000000,68848446,multiple_genres,5,52848446
mooz-lum,en,1.057,4.7,5,2011-02-11,1500000,372239,multiple_genres,2,-1127761
morgan,en,9.912,5.7,843,2016-09-02,8000000,7298786,multiple_genres,9,-701214
morning glory,en,10.595,6.3,717,2010-11-10,40000000,59795070,multiple_genres,11,19795070
mortal engines,en,40.095,6.0,1751,2018-12-14,100000000,85287417,multiple_genres,12,-14712583
mortdecai,en,13.263,5.4,1666,2015-01-23,60000000,30396134,multiple_genres,1,-29603866
mother!,en,15.227,7.0,3458,2017-09-15,30000000,42531076,multiple_genres,9,12531076
movie 43,en,12.813,4.4,1332,2013-01-25,10000000,31164747,comedy,1,21164747
mr. peabody & sherman,en,12.813,6.6,1357,2014-03-07,145000000,269806430,multiple_genres,3,124806430
mr. turner,en,7.884,6.5,301,2014-12-19,14000000,25187026,multiple_genres,12,11187026
much ado about nothing,en,5.952,7.2,165,1993-05-07,8000000,22549338,drama,5,14549338
mud,en,12.507,7.0,1592,2013-04-26,10000000,31556959,drama,4,21556959
muppets most wanted,en,9.118,6.2,473,2014-03-21,55000000,79312301,multiple_genres,3,24312301
murder on the orient express,en,15.937,6.7,5406,2017-11-10,55000000,345922730,multiple_genres,11,290922730
mustang,tr,7.459,8.0,755,2015-11-20,1400000,5552584,drama,11,4152584
my best friend's wedding,zh,1.4,7.0,2,1997-06-20,46000000,298923419,multiple_genres,6,252923419
my big fat greek wedding 2,en,6.714,5.8,593,2016-03-25,18000000,92096558,multiple_genres,3,74096558
my girlfriend's boyfriend,en,4.378,5.9,68,2010-05-01,1400000,0,multiple_genres,5,-1400000
my last day without you,de,2.007,5.8,5,2013-10-04,1000000,0,multiple_genres,10,-1000000
my name is khan,hi,7.619,7.8,409,2010-02-12,8470000,42355526,action,2,33885526
my soul to take,en,9.808,5.4,247,2010-10-08,25000000,16727470,multiple_genres,10,-8272530
my week with marilyn,en,12.081,6.7,741,2011-11-23,10000000,34240572,multiple_genres,11,24240572
n-secure,en,1.132,4.8,6,2010-10-15,1600000,2595644,multiple_genres,10,995644
nebraska,en,9.521,7.4,967,2013-11-15,12000000,24761360,multiple_genres,11,12761360
need for speed,en,13.723,6.1,2389,2014-03-14,66000000,194169619,multiple_genres,3,128169619
neighbors,en,14.979,6.2,4536,2014-05-09,18000000,270944428,drama,5,252944428
neighbors 2: sorority rising,en,17.662,5.7,2829,2016-05-20,35000000,108757621,comedy,5,73757621
nerve,en,14.508,7.1,4590,2016-07-27,20000000,70652284,multiple_genres,7,50652284
never let me go,en,10.012,6.8,1294,2010-09-15,15000000,11173718,drama,9,-3826282
newlyweds,en,1.973,5.4,7,2012-01-13,9000,4584,multiple_genres,1,-4416
night at the museum: secret of the tomb,en,20.064,6.1,3536,2014-12-19,127000000,353756621,multiple_genres,12,226756621
night of the living dead,en,0.6,6.5,1,1990-10-19,4200000,5835247,horror,10,1635247
night school,en,12.786,6.0,775,2018-09-28,29000000,103008792,documentary,9,74008792
nightcrawler,en,25.597,7.7,5860,2014-10-31,8500000,50334418,multiple_genres,10,41834418
nine,en,0.637,9.0,1,2009-12-18,80000000,53508858,horror,12,-26491142
nine dead,en,8.882,5.1,125,2009-12-31,2000000,0,multiple_genres,12,-2000000
